profile,quantum,seed,algorithm,mean_waiting,mean_turnaround,mean_response,mean_slowdown,p95_waiting,max_waiting,makespan,utilization,throughput,context_switches,dispatches
batch,3,110,srtf,257.56,283.84,257.56,9.426801303177262,578,617,657,1.0,0.0380517503805175,24,25
batch,3,110,rr,511.24,537.52,36.0,21.28153207689346,614,617,657,1.0,0.0380517503805175,224,226
batch,3,110,priority,318.36,344.64,318.36,14.828819119806973,582,617,657,1.0,0.0380517503805175,24,25
batch,3,110,hrrn,270.32,296.6,270.32,10.404935710216657,578,617,657,1.0,0.0380517503805175,24,25
batch,3,111,fcfs,330.44,357.16,330.44,15.86990075362123,590,628,668,1.0,0.0374251497005988,24,25
batch,3,111,sjf,260.64,287.36,260.64,9.323793266670029,589,628,668,1.0,0.0374251497005988,24,25
batch,3,111,srtf,260.64,287.36,260.64,9.323793266670029,589,628,668,1.0,0.0374251497005988,24,25
batch,3,111,rr,516.88,543.6,36.0,21.19358941605467,626,628,668,1.0,0.0374251497005988,229,231
batch,3,111,priority,325.16,351.88,325.16,15.394299765176639,592,630,668,1.0,0.0374251497005988,24,25
batch,3,111,hrrn,270.36,297.08,270.36,10.128533818836209,589,628,668,1.0,0.0374251497005988,24,25
